Table S-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bachelor's Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bachelor’s degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Bachelor's degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
New York,"1,964,870","1,934,140","1,967,980","1,993,535","2,072,040","2,023,840","2,066,560","2,099,705","2,176,295","2,217,920","2,259,140","2,283,450","2,330,375","2,387,480","2,418,300",,"5,492,496","5,417,603","5,357,444","5,324,739","5,290,037","5,269,491","5,280,203","5,293,962","5,307,314","5,310,927","5,308,145","5,302,413","5,296,806","5,299,630","5,297,612",,35.8,35.7,36.7,37.4,39.2,38.4,39.1,39.7,41.0,41.8,42.6,43.1,44.0,45.0,45.6
North Carolina,"697,740","689,730","712,815","729,805","768,610","753,805","776,395","786,980","826,530","840,255","851,625","893,505","935,725","960,355","978,850",,"2,494,079","2,518,651","2,544,472","2,570,907","2,573,672","2,577,428","2,576,613","2,579,425","2,588,912","2,599,047","2,609,449","2,629,058","2,656,509","2,685,733","2,719,496",,28.0,27.4,28.0,28.4,29.9,29.2,30.1,30.5,31.9,32.3,32.6,34.0,35.2,35.8,36.0
North Dakota,"48,380","49,180","49,435","53,740","50,785","58,935","55,890","62,915","60,715","63,155","68,550","73,320","79,125","77,685","75,905",,"157,141","156,114","158,461","159,328","162,677","166,651","170,338","176,254","184,593","191,160","199,208","200,854","202,520","204,630","207,147",,30.8,31.5,31.2,33.7,31.2,35.4,32.8,35.7,32.9,33.0,34.4,36.5,39.1,38.0,36.6
Ohio,"833,140","820,655","840,230","846,255","852,180","845,475","840,370","861,400","891,570","914,590","922,940","942,570","966,585","997,180","1,015,845",,"3,078,364","3,037,836","3,000,205","2,959,430","2,916,945","2,885,691","2,870,474","2,858,425","2,865,662","2,874,971","2,881,104","2,888,256","2,907,421","2,930,703","2,952,186",,27.1,27.0,28.0,28.6,29.2,29.3,29.3,30.1,31.1,31.8,32.0,32.6,33.2,34.0,34.4
Oklahoma,"218,270","217,215","223,075","221,670","224,300","233,470","249,805","249,510","255,270","261,550","263,530","273,315","275,180","281,305","284,680",,"933,315","938,630","945,623","949,236","959,376","969,262","977,707","986,699","998,145","1,007,081","1,018,222","1,025,476","1,029,018","1,033,633","1,041,466",,23.4,23.1,23.6,23.4,23.4,24.1,25.6,25.3,25.6,26.0,25.9,26.7,26.7,27.2,27.3
Oregon,"284,780","291,515","307,420","308,690","315,665","315,040","317,300","340,800","348,440","357,085","384,140","392,680","423,300","424,235","439,290",,"985,556","994,743","1,004,706","1,012,559","1,020,615","1,024,888","1,034,410","1,041,863","1,049,006","1,061,435","1,080,963","1,112,408","1,137,469","1,155,509","1,172,996",,28.9,29.3,30.6,30.5,30.9,30.7,30.7,32.7,33.2,33.6,35.5,35.3,37.2,36.7,37.5
Pennsylvania,"979,365","981,800","989,050","1,000,910","1,035,975","1,040,685","1,045,715","1,082,555","1,120,305","1,130,985","1,159,390","1,209,520","1,227,340","1,259,265","1,273,570",,"3,257,164","3,224,924","3,197,312","3,173,801","3,146,144","3,126,308","3,125,681","3,128,332","3,135,420","3,144,540","3,148,142","3,151,070","3,168,645","3,196,393","3,222,875",,30.1,30.4,30.9,31.5,32.9,33.3,33.5,34.6,35.7,36.0,36.8,38.4,38.7,39.4,39.5
Rhode Island,"98,475","99,000","94,365","93,440","94,160","92,970","91,170","93,115","93,820","91,710","95,225","104,775","102,340","100,995","110,670",,"292,094","284,670","277,823","272,611","266,874","263,766","262,028","261,835","262,859","264,176","265,110","266,628","267,252","270,705","273,548",,33.7,34.8,34.0,34.3,35.3,35.2,34.8,35.6,35.7,34.7,35.9,39.3,38.3,37.3,40.5
South Carolina,"283,280","276,215","297,355","298,340","315,850","312,195","315,050","327,530","344,720","345,700","355,430","370,085","378,490","395,245","416,770",,"1,169,533","1,179,555","1,186,911","1,196,665","1,195,108","1,193,666","1,191,652","1,195,740","1,204,834","1,219,478","1,236,951","1,252,837","1,268,559","1,285,375","1,303,358",,24.2,23.4,25.1,24.9,26.4,26.2,26.4,27.4,28.6,28.3,28.7,29.5,29.8,30.7,32.0
South Dakota,"56,950","56,970","56,130","57,425","55,005","60,425","59,990","61,270","64,520","66,225","66,160","69,025","66,485","76,385","74,695",,"194,053","193,284","194,894","195,036","196,965","199,015","201,106","204,203","206,526","208,082","209,070","211,867","216,529","218,772","220,928",,29.3,29.5,28.8,29.4,27.9,30.4,29.8,30.0,31.2,31.8,31.6,32.6,30.7,34.9,33.8
Tennessee,"401,025","406,110","411,335","432,370","458,485","442,130","455,455","475,830","491,515","491,175","512,470","516,755","556,840","553,200","592,510",,"1,679,791","1,690,961","1,697,092","1,691,716","1,684,731","1,677,469","1,677,851","1,685,054","1,690,596","1,700,242","1,711,613","1,726,844","1,750,044","1,773,550","1,797,314",,23.9,24.0,24.2,25.6,27.2,26.4,27.1,28.2,29.1,28.9,29.9,29.9,31.8,31.2,33.0
Texas,"1,668,865","1,710,380","1,761,430","1,797,530","1,848,860","1,891,850","1,972,065","2,023,055","2,137,395","2,222,670","2,314,775","2,389,780","2,486,160","2,606,715","2,717,435",,"6,634,314","6,742,164","6,835,875","6,921,332","7,007,959","7,096,418","7,198,429","7,320,100","7,430,277","7,575,333","7,730,258","7,865,426","7,989,180","8,098,850","8,219,202",,25.2,25.4,25.8,26.0,26.4,26.7,27.4,27.6,28.8,29.3,29.9,30.4,31.1,32.2,33.1
Utah,"197,780","201,175","213,575","219,610","225,715","232,955","238,955","251,525","260,905","259,125","272,775","297,280","318,820","325,885","334,445",,"679,624","701,224","726,571","746,850","765,668","781,612","791,821","800,765","812,373","824,361","837,655","858,898","880,412","898,476","915,259",,29.1,28.7,29.4,29.4,29.5,29.8,30.2,31.4,32.1,31.4,32.6,34.6,36.2,36.3,36.5
Vermont,"53,695","51,825","53,805","51,830","52,955","51,125","56,930","55,360","56,310","56,365","54,400","57,420","58,870","64,645","63,810",,"158,855","155,997","153,309","151,259","149,150","147,554","146,433","144,989","144,560","143,157","142,403","141,762","142,874","144,499","145,675",,33.8,33.2,35.1,34.3,35.5,34.6,38.9,38.2,39.0,39.4,38.2,40.5,41.2,44.7,43.8
Virginia,"763,865","777,630","788,015","792,205","815,770","842,295","878,900","887,285","898,630","931,855","928,960","943,490","970,010","992,345","1,001,990",,"2,190,025","2,190,642","2,186,905","2,189,453","2,191,638","2,203,579","2,214,975","2,232,302","2,245,101","2,254,119","2,258,180","2,261,664","2,274,775","2,288,181","2,302,877",,34.9,35.5,36.0,36.2,37.2,38.2,39.7,39.7,40.0,41.3,41.1,41.7,42.6,43.4,43.5
Washington,"554,105","578,585","577,395","576,630","602,270","600,855","610,785","618,790","650,175","683,365","718,770","763,975","799,730","864,890","878,310",,"1,774,193","1,791,998","1,803,331","1,819,408","1,835,742","1,846,434","1,868,822","1,888,261","1,907,793","1,939,655","1,981,767","2,037,702","2,099,899","2,153,138","2,200,216",,31.2,32.3,32.0,31.7,32.8,32.5,32.7,32.8,34.1,35.2,36.3,37.5,38.1,40.2,39.9
West Virginia,"91,540","91,845","92,000","92,980","93,105","97,890","104,925","101,830","102,175","103,970","106,555","110,950","102,440","106,375","111,125",,"469,859","468,119","465,516","463,268","460,260","457,929","455,784","453,037","449,970","447,332","444,712","440,808","435,799","431,393","427,806",,19.5,19.6,19.8,20.1,20.2,21.4,23.0,22.5,22.7,23.2,24.0,25.2,23.5,24.7,26.0
Wisconsin,"430,485","432,645","435,545","440,265","438,370","440,270","442,835","458,470","466,750","474,985","477,135","497,605","512,570","511,990","542,485",,"1,495,134","1,479,447","1,471,698","1,462,682","1,452,804","1,445,127","1,436,604","1,428,023","1,423,474","1,419,403","1,414,596","1,414,290","1,425,720","1,440,982","1,454,297",,28.8,29.2,29.6,30.1,30.2,30.5,30.8,32.1,32.8,33.5,33.7,35.2,36.0,35.5,37.3
Wyoming,"29,830","29,405","30,815","31,825","34,280","35,805","38,625","36,980","43,950","40,715","42,315","43,410","43,110","44,110","44,925",,"129,772","131,399","135,001","138,230","143,309","144,960","145,993","149,161","150,776","151,600","152,933","152,602","150,863","150,456","150,718",,23.0,22.4,22.8,23.0,23.9,24.7,26.5,24.8,29.1,26.9,27.7,28.4,28.6,29.3,29.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,"276,935","279,955","291,500","285,245","286,175","271,080","278,780","286,055","275,475","266,925","264,385","261,300","258,230","256,765","259,360",,"1,027,725","1,019,384","1,010,002","998,917","986,055","972,221","949,922","930,003","913,334","892,653","873,430","851,966","827,176","787,277","793,549",,26.9,27.5,28.9,28.6,29.0,27.9,29.3,30.8,30.2,29.9,30.3,30.7,31.2,32.6,32.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES: Bachelor's degree holders include those who completed a bachelor's or higher degree. The national total for degree holders for the United States includes Puerto Rico. The national population total for the United States includes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Census Bureau, special tabulations of the American Community Survey (various years), data available as of January 2021; U.S. Census Bureau, 2000 and 2010 Decennial Censuses and Population Estimates Program (various years), data available as of June 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recommended Citation: National Science Board. “Bachelor's Degree Holders among Individuals 25–44 Years Old.” Science and Engineering Indicators: State Indicators. Alexandria, VA: National Science Foundation. https://ncses.nsf.gov/indicators/states/indicator/bachelors-degree-holders-per-25-44-year-olds. Accessed on [date of user access].",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last updated: March 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science and Engineering Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
